id_cliente;nome;endereco;email;data_nascimento;sexo;nivel_fidelidade
1;Gabrielly da Costa;"Avenida de Moraes; 371
Vila Jardim Alvorada
90991757 Correia / MG";dda-mota@example.com;1992-06-19;Masculino;Platina
2;Luiza Silva;"Travessa de Pinto; 4
Vila Maloca
64625168 Lima dos Dourados / PB";biancacardoso@example.net;1956-05-05;Feminino;Platina
3;Dra. Isabella Lopes;"Vereda Paulo Moraes; 71
Vitoria Da Conquista
09869115 Caldeira / MG";vieirafrancisco@example.org;2005-04-29;Masculino;Bronze
4;Leandro Sales;"Quadra Arthur Melo; 278
Frei Leopoldo
26988630 da Mota de Almeida / AL";xfernandes@example.org;1967-11-15;Masculino;Bronze
5;Thales Rocha;"Recanto de Nunes; 3
Estrela
60187174 da Cunha / MA";theo73@example.com;1996-02-09;Masculino;Ouro
6;João Pedro Silva;"Fazenda Viana; 45
Braúnas
20569557 Gonçalves de Pereira / RR";maria-ceciliasales@example.com;1970-06-09;Feminino;Bronze
7;Joana da Mata;"Loteamento de Peixoto; 363
Vila São Gabriel Jacui
86367-757 Correia de Caldeira / MG";gabriela48@example.com;1940-07-25;Masculino;Platina
8;Marcos Vinicius Dias;"Travessa Clara Barros; 77
Buraco Quente
53123970 Castro / SC";pedro30@example.org;1972-04-24;Masculino;Platina
9;Lucca Fernandes;"Vale Enzo Gabriel Santos; 713
Camponesa 1ª Seção
65117889 Lima / AM";eduardopinto@example.net;1958-01-17;Masculino;Platina
10;Maria Cecília Porto;"Colônia Marcelo Pinto; 40
Comiteco
13427178 Rezende / TO";diaslucas-gabriel@example.org;1985-12-25;Masculino;Bronze
11;Lavínia Almeida;"Chácara de Castro; 289
São Gonçalo
06047520 Alves do Amparo / AL";cavalcantiyasmin@example.net;2001-11-17;Feminino;Platina
12;Ana Beatriz Duarte;"Praia Gabriel Freitas; 161
Graça
21249-931 da Rocha de Gonçalves / GO";rafael46@example.com;1965-07-18;Feminino;Prata
13;Davi Lucas Araújo;"Loteamento Aragão; 189
Satelite
39543598 Azevedo / MA";estherazevedo@example.org;1950-10-08;Feminino;Prata
14;Luiz Fernando Melo;"Parque de Monteiro
Morro Dos Macacos
86593580 Rocha da Praia / DF";andrecunha@example.org;1933-06-24;Masculino;Prata
15;Ana Beatriz Silva;"Praça da Conceição; 592
Minas Caixa
41410-220 Silveira do Campo / BA";ofreitas@example.org;1960-09-26;Masculino;Platina
16;Sr. Luiz Fernando Carvalho;"Recanto Duarte; 14
Virgínia
18450120 Moreira da Serra / SP";thales95@example.net;1934-02-19;Masculino;Platina
17;Dr. Pedro Henrique da Rocha;"Campo Breno Caldeira; 94
Tiradentes
69289602 Costela Verde / AL";luigi22@example.com;1983-05-02;Masculino;Prata
18;Clara Novaes;"Rodovia Juan Peixoto; 51
Vila Formosa
70910-492 Dias / SP";pda-luz@example.org;1987-01-01;Masculino;Platina
