id,nome,email,idade
1,Estudante 1,estudante45@exemplo.com,
2,Estudante 2,estudante48@exemplo.com,23.0
3,Estudante 3,estudante65@exemplo.com,19.0
4,Estudante 4,estudante68@exemplo.com,21.0
5,Estudante 5,estudante68@exemplo.com,18.0
6,Estudante 6,estudante10@exemplo.com,23.0
7,Estudante 7,estudante84@exemplo.com,
8,Estudante 8,estudante22@exemplo.com,18.0
9,Estudante 9,estudante37@exemplo.com,19.0
10,Estudante 10,estudante88@exemplo.com,20.0
11,Estudante 11,estudante71@exemplo.com,22.0
12,Estudante 12,estudante89@exemplo.com,20.0
13,Estudante 13,estudante89@exemplo.com,18.0
14,Estudante 14,estudante13@exemplo.com,23.0
15,Estudante 15,estudante59@exemplo.com,
16,Estudante 16,estudante66@exemplo.com,
17,Estudante 17,estudante40@exemplo.com,20.0
18,Estudante 18,estudante88@exemplo.com,
19,Estudante 19,estudante47@exemplo.com,18.0
20,Estudante 20,estudante89@exemplo.com,23.0
21,Estudante 21,estudante82@exemplo.com,19.0
22,Estudante 22,estudante38@exemplo.com,18.0
23,Estudante 23,estudante26@exemplo.com,
24,Estudante 24,estudante78@exemplo.com,20.0
25,Estudante 25,estudante73@exemplo.com,21.0
26,Estudante 26,estudante10@exemplo.com,20.0
27,Estudante 27,estudante21@exemplo.com,21.0
28,Estudante 28,estudante81@exemplo.com,20.0
29,Estudante 29,estudante70@exemplo.com,19.0
30,Estudante 30,estudante80@exemplo.com,20.0
31,Estudante 31,estudante48@exemplo.com,
32,Estudante 32,estudante65@exemplo.com,21.0
33,Estudante 33,estudante83@exemplo.com,24.0
34,Estudante 34,estudante100@exemplo.com,21.0
35,Estudante 35,estudante89@exemplo.com,
36,Estudante 36,estudante50@exemplo.com,20.0
37,Estudante 37,estudante30@exemplo.com,
38,Estudante 38,estudante20@exemplo.com,21.0
39,Estudante 39,estudante20@exemplo.com,22.0
40,Estudante 40,estudante15@exemplo.com,19.0
41,Estudante 41,estudante40@exemplo.com,20.0
42,Estudante 42,estudante33@exemplo.com,21.0
43,Estudante 43,estudante66@exemplo.com,24.0
44,Estudante 44,estudante10@exemplo.com,19.0
45,Estudante 45,estudante58@exemplo.com,20.0
46,Estudante 46,estudante33@exemplo.com,
47,Estudante 47,estudante32@exemplo.com,22.0
48,Estudante 48,estudante75@exemplo.com,20.0
49,Estudante 49,estudante24@exemplo.com,
50,Estudante 50,estudante36@exemplo.com,21.0
51,Estudante 51,estudante76@exemplo.com,18.0
52,Estudante 52,estudante56@exemplo.com,
53,Estudante 53,estudante29@exemplo.com,
54,Estudante 54,estudante35@exemplo.com,21.0
55,Estudante 55,estudante1@exemplo.com,18.0
56,Estudante 56,estudante1@exemplo.com,
57,Estudante 57,estudante37@exemplo.com,24.0
58,Estudante 58,estudante54@exemplo.com,18.0
59,Estudante 59,estudante6@exemplo.com,
60,Estudante 60,estudante39@exemplo.com,21.0
61,Estudante 61,estudante18@exemplo.com,24.0
62,Estudante 62,estudante80@exemplo.com,20.0
63,Estudante 63,estudante5@exemplo.com,21.0
64,Estudante 64,estudante43@exemplo.com,18.0
65,Estudante 65,estudante59@exemplo.com,
66,Estudante 66,estudante32@exemplo.com,18.0
67,Estudante 67,estudante2@exemplo.com,23.0
68,Estudante 68,estudante66@exemplo.com,24.0
69,Estudante 69,estudante42@exemplo.com,18.0
70,Estudante 70,estudante58@exemplo.com,23.0
71,Estudante 71,estudante36@exemplo.com,20.0
72,Estudante 72,estudante12@exemplo.com,21.0
73,Estudante 73,estudante47@exemplo.com,24.0
74,Estudante 74,estudante83@exemplo.com,20.0
75,Estudante 75,estudante92@exemplo.com,21.0
76,Estudante 76,estudante1@exemplo.com,23.0
77,Estudante 77,estudante15@exemplo.com,18.0
78,Estudante 78,estudante100@exemplo.com,18.0
79,Estudante 79,estudante54@exemplo.com,
80,Estudante 80,estudante13@exemplo.com,21.0
81,Estudante 81,estudante43@exemplo.com,18.0
82,Estudante 82,estudante85@exemplo.com,20.0
83,Estudante 83,estudante76@exemplo.com,20.0
84,Estudante 84,estudante69@exemplo.com,18.0
85,Estudante 85,estudante7@exemplo.com,
86,Estudante 86,estudante69@exemplo.com,21.0
87,Estudante 87,estudante48@exemplo.com,22.0
88,Estudante 88,estudante4@exemplo.com,23.0
89,Estudante 89,estudante77@exemplo.com,24.0
90,Estudante 90,estudante53@exemplo.com,
91,Estudante 91,estudante79@exemplo.com,22.0
92,Estudante 92,estudante16@exemplo.com,21.0
93,Estudante 93,estudante21@exemplo.com,23.0
94,Estudante 94,estudante100@exemplo.com,21.0
95,Estudante 95,estudante59@exemplo.com,22.0
96,Estudante 96,estudante24@exemplo.com,24.0
97,Estudante 97,estudante80@exemplo.com,23.0
98,Estudante 98,estudante14@exemplo.com,19.0
99,Estudante 99,estudante86@exemplo.com,
100,Estudante 100,estudante49@exemplo.com,21.0
